y0_pred_v,y1_pred_v,y2_pred_v,y3_pred_v,y4_pred_v,y5_pred_v,y6_pred_v,y7_pred_v
1.602997,1.5999457,1.5906017,1.603419,1.6832033,1.6846466,1.683815,1.6840699
1.5871791,1.5787363,1.5756223,1.5898548,1.6822253,1.6842934,1.6870579,1.6856416
1.5820949,1.5701835,1.5717194,1.5837661,1.6607419,1.6624968,1.6654804,1.6659907
1.5814875,1.5712957,1.5710695,1.583206,1.6683315,1.6706595,1.6715513,1.6724862
1.5917178,1.582396,1.5795338,1.5935344,1.6842867,1.6846106,1.6883786,1.6864288
1.5863165,1.5768471,1.5729394,1.5856433,1.6903361,1.6915904,1.6924008,1.6930768
1.5692909,1.5504425,1.5560632,1.5672839,1.7072653,1.7096117,1.7117215,1.7144135
1.5771627,1.5637033,1.5637217,1.5759193,1.6979425,1.699995,1.7010926,1.7029068
1.5880107,1.5800291,1.5742328,1.5860316,1.6894656,1.690609,1.6900109,1.6912453
1.5842289,1.5708567,1.5726466,1.5870411,1.6904691,1.6917026,1.6973351,1.6953096
1.5837377,1.5734297,1.5747049,1.5866438,1.6574485,1.659305,1.6601285,1.6614683
1.5721897,1.5603576,1.558131,1.5708991,1.6950103,1.6976366,1.6970501,1.6995842
1.5636997,1.5467236,1.5546618,1.5659597,1.6500176,1.654021,1.6592928,1.660235
1.5627402,1.5447552,1.5491581,1.562284,1.7019514,1.7046373,1.7062787,1.7091035
1.5873955,1.5802355,1.5738325,1.5867763,1.6759764,1.6771706,1.6769599,1.6785454
1.5773529,1.564059,1.5679171,1.579546,1.6646718,1.666235,1.6676881,1.6692806
1.5604497,1.5433716,1.5470572,1.559143,1.697464,1.7005868,1.7021157,1.7045807
1.5940186,1.5858357,1.5798008,1.5935878,1.6820681,1.6817007,1.6842661,1.684269
1.5842806,1.5784634,1.5696194,1.5828229,1.6823361,1.6838558,1.6821414,1.6842194
1.6024915,1.5965025,1.5880985,1.601818,1.675877,1.6753061,1.6774133,1.6783607
1.548779,1.528504,1.5400901,1.5507442,1.6642454,1.6691163,1.6737034,1.6760652
1.5578542,1.5412974,1.5473337,1.5590763,1.6577657,1.6625892,1.6658878,1.6683366
1.5513934,1.5302448,1.5348411,1.5452908,1.715949,1.7179621,1.7200075,1.7254803
1.5731367,1.5634322,1.5594189,1.5719,1.6835706,1.6859903,1.6843137,1.6872386
1.6004183,1.5861553,1.6032794,1.6125993,1.6355405,1.6361738,1.6405023,1.640158
1.5941267,1.5890582,1.5798934,1.5926644,1.6593531,1.6603808,1.6612507,1.6640422
1.5700468,1.5589825,1.5603268,1.5707923,1.6303631,1.634887,1.6349739,1.6400394
1.5656348,1.5534215,1.5512824,1.5643507,1.6796292,1.6825562,1.68268,1.6859148
1.5566527,1.5373883,1.5432036,1.5559502,1.6782368,1.6816247,1.6870261,1.6889455
1.5686984,1.5551926,1.558888,1.5698053,1.639663,1.6434176,1.647143,1.64987
1.5949286,1.5864494,1.5828958,1.5959885,1.6780933,1.6767528,1.6786438,1.6788251
1.5639001,1.5532765,1.5487013,1.5618033,1.689431,1.6924182,1.6893214,1.6934937
1.5467684,1.5252047,1.5343485,1.5446373,1.6903782,1.6931837,1.6970913,1.7012967
1.5956664,1.5900055,1.581034,1.5952255,1.6751682,1.6749048,1.6763623,1.6774278
1.5602816,1.5437514,1.5509279,1.5617558,1.6344236,1.6389005,1.6437887,1.6466315
1.5500658,1.5329,1.5391028,1.550671,1.6529268,1.6580725,1.6607848,1.6653762
1.5806041,1.5713118,1.5661898,1.5789951,1.6845158,1.6846371,1.6838952,1.6859671
1.5842038,1.5742815,1.5716646,1.584249,1.6699876,1.6699201,1.670253,1.6725157
1.5609133,1.5443258,1.5454512,1.5571111,1.7067262,1.7086713,1.7086068,1.7125579
1.6199983,1.616695,1.6106074,1.6197482,1.6024151,1.6025481,1.6022255,1.6083035
1.5749782,1.5635766,1.5656562,1.5761526,1.6222528,1.6249923,1.6257299,1.6310933
1.5831333,1.5759625,1.5703306,1.5822085,1.6471845,1.6489974,1.647431,1.652497
1.5777509,1.5679243,1.5636237,1.5777019,1.6882814,1.6885352,1.6898301,1.6905766
1.5645056,1.5491779,1.5549018,1.5663955,1.6454962,1.6490602,1.6519037,1.6552169
1.6160647,1.6064901,1.6109242,1.6230961,1.6591156,1.6571199,1.6610624,1.662369
1.5674309,1.5560452,1.5566497,1.568003,1.6416283,1.6454735,1.6446356,1.6501124
1.5931602,1.5861243,1.585988,1.5956537,1.5997654,1.6016432,1.5987883,1.6071119
1.5719721,1.5581124,1.5619085,1.5734739,1.6446272,1.646695,1.6485083,1.6523937
1.57439,1.5628294,1.5616624,1.5739218,1.6587309,1.66065,1.6613387,1.6655924
1.5750959,1.5608294,1.563859,1.5759102,1.6583334,1.659108,1.6611603,1.6645582
1.5782562,1.5646825,1.5654573,1.5779107,1.6767323,1.6760068,1.6778203,1.6801525
1.5637777,1.5470357,1.5493982,1.563954,1.698226,1.698501,1.7022269,1.7034192
1.6032509,1.5965631,1.5942845,1.6063168,1.6477845,1.6471927,1.6457304,1.6497931
1.624369,1.6180967,1.6185973,1.6304201,1.6419309,1.6407638,1.6421142,1.6463424
1.5542736,1.5350227,1.5367393,1.5493966,1.7093881,1.7097127,1.7118145,1.7164905
1.5634737,1.5487732,1.5480494,1.5614645,1.6899534,1.6913682,1.6919118,1.6956923
1.5546805,1.5368243,1.5366137,1.5495389,1.7090063,1.7097044,1.7099874,1.7151263
1.603614,1.5991746,1.5869298,1.600474,1.6730394,1.6717455,1.6707907,1.6749126
1.5560255,1.5373046,1.539459,1.5504562,1.7031058,1.7042369,1.7048001,1.7101245
1.5582191,1.541078,1.5418353,1.5541425,1.6962389,1.6974283,1.6980017,1.7030723
1.5603014,1.5455992,1.5477512,1.5592566,1.6467165,1.6500039,1.6516781,1.657196
1.5601039,1.5443484,1.5443602,1.557562,1.6804124,1.6823474,1.683301,1.6886678
1.5607105,1.5465299,1.5449071,1.5578679,1.6802086,1.6828022,1.6811229,1.6873723
1.5973537,1.5923548,1.5818777,1.5919625,1.617784,1.6180975,1.6147115,1.6239884
1.5843546,1.5734488,1.5678077,1.5810344,1.6866907,1.6849706,1.6849422,1.6883599
1.5533001,1.5313917,1.5382144,1.5490898,1.6930177,1.6939692,1.6977483,1.7028619
1.5681489,1.5560244,1.558253,1.5676978,1.5965835,1.6014735,1.601876,1.6107179
1.5586028,1.5398661,1.5438848,1.556307,1.6564884,1.6589675,1.6649563,1.6695116
1.5584818,1.5436438,1.5450435,1.5566998,1.6457719,1.6489329,1.6496694,1.6558454
1.5598687,1.5430362,1.5435519,1.5544529,1.6994511,1.7010405,1.6998562,1.705065
1.565014,1.5506335,1.5502412,1.5629176,1.666114,1.6685846,1.6680553,1.6746235
1.566922,1.5532448,1.5500245,1.5637375,1.6810541,1.682047,1.6825037,1.6874844
1.5648488,1.550894,1.5501497,1.5626123,1.6529864,1.6558796,1.6557971,1.662622
1.5641152,1.5463843,1.5494583,1.5618843,1.6675131,1.6688656,1.6721635,1.6773797
1.5819098,1.5716636,1.5646915,1.5782058,1.6823848,1.681448,1.6815416,1.6855206
1.5684199,1.5552733,1.5512319,1.5648739,1.6943088,1.6945283,1.6930685,1.697153
1.5707091,1.5580628,1.5540204,1.5676963,1.6830772,1.6837748,1.6829051,1.6879265
1.5778903,1.5679616,1.5611556,1.574653,1.6813078,1.6810037,1.6777651,1.6825826
1.588853,1.5783179,1.5763261,1.5860196,1.5996896,1.6007313,1.6001416,1.609889
1.578265,1.5643396,1.5662286,1.5781412,1.6530732,1.6533922,1.653199,1.6590562
1.5651613,1.5476224,1.5537324,1.5646322,1.6344637,1.6372664,1.6402583,1.6467986
1.5787941,1.5656307,1.5666726,1.5784397,1.6465456,1.6472458,1.6459572,1.652898
1.5792469,1.566685,1.5656612,1.578066,1.6611745,1.6610955,1.6586671,1.6650264
1.6056513,1.5943437,1.605227,1.6135213,1.5697817,1.5716484,1.5699378,1.5807378
1.5757648,1.5640758,1.5603502,1.5732096,1.6590773,1.6603945,1.6581019,1.665522
1.5645365,1.5493482,1.5497401,1.5614783,1.6329304,1.6366193,1.6366798,1.6453773
1.5507435,1.5280907,1.5371268,1.5479534,1.6153507,1.618847,1.6270932,1.6349645
1.557042,1.5359501,1.5455449,1.5561421,1.6146468,1.6179708,1.6244565,1.6321806
1.6115549,1.6008306,1.6123381,1.6212429,1.5759548,1.5777161,1.5750266,1.585398
1.5766073,1.5639582,1.5625024,1.5742292,1.632418,1.6348859,1.6334743,1.6425648
1.615674,1.6076126,1.6045804,1.6163731,1.633761,1.6309934,1.6304499,1.6381531
1.5560286,1.538522,1.5420895,1.552892,1.6208888,1.6257744,1.6271583,1.6367683
1.5836655,1.5739379,1.5695035,1.5822695,1.6517588,1.6519978,1.6466997,1.6538746
1.5509425,1.5296292,1.5357077,1.5471406,1.635408,1.6386544,1.6433419,1.6525431
1.5623012,1.5421995,1.5495431,1.5603229,1.6244775,1.6272497,1.6320555,1.64014
1.5727319,1.5564053,1.5598924,1.5694541,1.5912564,1.5942173,1.5976057,1.607919
1.5667058,1.5478699,1.5511382,1.5631009,1.6440463,1.6457843,1.6488396,1.6567281
1.5516528,1.5325427,1.5325134,1.5458457,1.6636343,1.6654407,1.666681,1.6751946
1.6033406,1.5880436,1.5995207,1.6102703,1.629647,1.627844,1.6299764,1.6358516
1.5816926,1.5701706,1.5665174,1.5786009,1.6333498,1.6346893,1.6330597,1.6420726
1.5514513,1.5307827,1.538939,1.549919,1.5990317,1.6033151,1.6091615,1.6193913
1.5813493,1.5647414,1.5708954,1.5819604,1.6408814,1.6395435,1.6413094,1.6475552
1.5666898,1.5497332,1.5471947,1.5608268,1.674595,1.6748269,1.6760231,1.6832163
1.5862137,1.5752786,1.5714626,1.5807338,1.5865365,1.589585,1.5874969,1.599731
1.5592027,1.5391818,1.5405858,1.5531887,1.6589926,1.6600363,1.6619393,1.6711949
1.5861665,1.5719478,1.5723853,1.584524,1.6484123,1.6469903,1.6462284,1.653995
1.5523106,1.5305007,1.5384881,1.5492755,1.5903933,1.5940139,1.6014124,1.61199
1.5673374,1.5475477,1.553395,1.5642091,1.6134571,1.6158692,1.6195691,1.6294066
1.5635934,1.542459,1.5461068,1.5577233,1.6195353,1.6221902,1.6287364,1.6381025
1.551842,1.5259213,1.5356374,1.5471658,1.5888916,1.5912635,1.6045823,1.6138179
1.5678982,1.5509825,1.5514848,1.562734,1.6069299,1.610673,1.6114808,1.622958
1.5690129,1.5509677,1.5524628,1.5639055,1.6096002,1.6129608,1.6158351,1.6263071
1.5582263,1.5369391,1.5349555,1.5499076,1.6754388,1.6754283,1.6797298,1.6860881
1.5816039,1.5640688,1.5642743,1.5763018,1.638844,1.6379856,1.6409591,1.650002
1.5656846,1.5451705,1.5471323,1.5591911,1.6175624,1.6199553,1.6255554,1.634948
1.5751736,1.5567993,1.5583098,1.5686224,1.585034,1.5879147,1.5938948,1.6058716
1.5942751,1.5814406,1.5778861,1.5859243,1.5588459,1.562253,1.5600721,1.5742925
1.5847015,1.5722412,1.566489,1.5799462,1.652655,1.6520362,1.6487104,1.6575563
1.5849329,1.572402,1.5679097,1.5807985,1.6415056,1.6412216,1.6373247,1.6470586
1.5844605,1.5707841,1.5664785,1.5793191,1.6396074,1.6395175,1.6378676,1.6479046
1.5964175,1.586695,1.578717,1.5903543,1.6051592,1.605724,1.6011837,1.6145905
1.5653863,1.5480639,1.5487714,1.559722,1.5813516,1.5862615,1.5874485,1.6018271
1.570064,1.553688,1.5512514,1.5642279,1.627619,1.6301699,1.6294069,1.6402133
1.5978034,1.5871607,1.5836868,1.5952088,1.6053507,1.6051823,1.6003499,1.6128764
1.5702437,1.5505551,1.5473399,1.5617819,1.6680024,1.6671369,1.6717172,1.679386
1.5617231,1.537859,1.5408063,1.5537504,1.6377052,1.6383424,1.644509,1.6549356
1.5796052,1.5636935,1.5621169,1.572746,1.5683984,1.5717092,1.5726551,1.5881169
1.5845927,1.5668964,1.5641975,1.5770903,1.6551853,1.6526313,1.6559157,1.6649784
1.5598904,1.5371022,1.5432844,1.5556792,1.5770578,1.5796037,1.5868117,1.6001844
1.5717264,1.5508606,1.553725,1.5641564,1.5528413,1.5557494,1.5646483,1.5785527
1.57048,1.5516627,1.5520244,1.5637525,1.5928222,1.596462,1.5998676,1.6109037
1.5786954,1.5606232,1.5576603,1.5708884,1.6417037,1.6413643,1.6449099,1.6545393
1.5786427,1.5626295,1.5602431,1.5718627,1.5965273,1.5996283,1.5999287,1.6129265
1.5952858,1.5819277,1.5769806,1.5853455,1.5511736,1.5549989,1.5521945,1.5680163
1.598513,1.582511,1.5802543,1.587936,1.5159539,1.5206804,1.5212264,1.5383748
1.5735971,1.5527005,1.5557578,1.5669966,1.6199106,1.6210387,1.6227354,1.6345086
1.6118356,1.5968305,1.6009612,1.6104109,1.5669143,1.5673137,1.567974,1.5834966
1.5631745,1.5371184,1.5415654,1.5546671,1.6170696,1.6177129,1.6266311,1.6381123
1.5924248,1.5777612,1.5741827,1.5836374,1.5488153,1.5527809,1.5506396,1.5682006
1.5587987,1.5358832,1.5406904,1.5529282,1.5590645,1.5622077,1.569496,1.5842159
1.5785233,1.5594348,1.5585167,1.570939,1.6176639,1.6188985,1.6218711,1.6335247
1.5612283,1.5338068,1.5377014,1.5512987,1.6080085,1.6088096,1.6192405,1.631105
1.5632167,1.5383201,1.5379953,1.5528965,1.6419436,1.6421843,1.6481619,1.657886
1.5799742,1.5608075,1.5610406,1.5710726,1.5446311,1.5489793,1.5540003,1.5699055
1.5574703,1.5322889,1.5355959,1.5489669,1.636334,1.6381418,1.6404368,1.6528189
1.570523,1.5505143,1.5518208,1.5621972,1.5323061,1.5376039,1.5426639,1.5581173
1.5562719,1.5291862,1.5377927,1.5519688,1.577299,1.5781705,1.588298,1.6015726
1.5695329,1.5468873,1.5469747,1.5605749,1.6323817,1.6335866,1.6378244,1.648946
1.5780754,1.557536,1.5583787,1.570306,1.6152896,1.6165061,1.6175846,1.630671
1.5667673,1.5436833,1.5432825,1.5574796,1.6359085,1.6371,1.6405536,1.6519126
1.5750116,1.5540776,1.5545585,1.5662681,1.5666009,1.5699372,1.5764815,1.5916383
1.5780761,1.5591056,1.5581715,1.5686358,1.5424157,1.5477532,1.5510877,1.566669
1.5712816,1.5502365,1.5517895,1.5639707,1.5759748,1.5787333,1.5830277,1.597834
1.560249,1.5334749,1.5381045,1.5514172,1.5618412,1.563783,1.5763395,1.5895938
1.5645194,1.5408914,1.542542,1.556319,1.6095072,1.6114011,1.6148797,1.627235
1.5958862,1.5819148,1.5750477,1.5870003,1.5917298,1.5925651,1.5910354,1.606202
1.5891309,1.5724713,1.5677273,1.5800966,1.6011648,1.6019678,1.6027685,1.6164385
1.5693496,1.5490324,1.5490134,1.5618429,1.5792291,1.5833211,1.5836698,1.5985707
1.5626757,1.5356472,1.5372088,1.5517861,1.6088474,1.6096721,1.617509,1.6301284
1.5998687,1.5827684,1.5801561,1.592307,1.6069328,1.6059798,1.6080521,1.622042
1.5744833,1.5529966,1.553916,1.5652436,1.5262171,1.5314314,1.5376886,1.5544065
1.5892655,1.5695999,1.5740702,1.5856806,1.5609651,1.563703,1.5644671,1.5810931
1.5976455,1.5816022,1.5771155,1.5883039,1.5770518,1.5790452,1.5783352,1.5955288
1.5752343,1.555449,1.554455,1.5671915,1.5807358,1.5845263,1.584744,1.5998236
1.5550977,1.5249563,1.5279994,1.5436845,1.6466738,1.6464392,1.652243,1.6641042
1.5798116,1.5585036,1.5580051,1.5711571,1.6177696,1.6187556,1.6201388,1.6333783
1.569791,1.5460536,1.5483451,1.5617505,1.6001511,1.6027389,1.6062821,1.6200119
1.5785553,1.5570955,1.5565331,1.5698199,1.6200889,1.6211834,1.6220412,1.6352628
1.5679282,1.5439014,1.5454261,1.5588992,1.6155558,1.6181281,1.6206704,1.6337813
1.6158451,1.6001306,1.5985129,1.6065496,1.4966528,1.5021802,1.499513,1.518924
1.5754805,1.5527016,1.5540731,1.5673839,1.5801308,1.5828143,1.5871376,1.6031039
1.5908862,1.574487,1.5688851,1.5816766,1.5869089,1.5891149,1.5872436,1.6033733
1.5545236,1.5235938,1.530632,1.5465976,1.5699309,1.5698223,1.5833555,1.5966554
1.5703169,1.5443519,1.5471189,1.5609809,1.5714439,1.574154,1.584886,1.5994382
1.5584939,1.5294417,1.5321126,1.5477273,1.6166605,1.6168635,1.6234504,1.6366547
1.5687793,1.541225,1.5438254,1.5584102,1.5870715,1.5888288,1.5995517,1.6126617
1.5595428,1.5354816,1.5366256,1.5506428,1.5253934,1.5291581,1.5371327,1.5524764
1.6087476,1.5942631,1.5896959,1.6025048,1.5958577,1.5947089,1.5930817,1.6077764
1.573476,1.5485721,1.5497961,1.5635306,1.5174444,1.5218598,1.5333017,1.5500735
1.5677747,1.541804,1.5409756,1.5562832,1.6128188,1.614322,1.6189152,1.6318958
1.5658222,1.5374013,1.5399795,1.5553491,1.5917236,1.5927314,1.6032717,1.616401
1.6208721,1.6025445,1.6025281,1.6110917,1.462098,1.4679646,1.4694155,1.4909141
1.5647916,1.5395963,1.5382969,1.5538328,1.6050572,1.6077648,1.610445,1.6226125
1.5563301,1.5277674,1.5315657,1.5475091,1.5511014,1.5522597,1.563752,1.5783433
1.5640482,1.5376346,1.537112,1.5529935,1.6064157,1.6082098,1.6117581,1.624469
1.5825717,1.5583341,1.5586622,1.5723833,1.5216764,1.5260668,1.5363963,1.5547638
1.5885276,1.5653487,1.5645609,1.577709,1.5562797,1.5589764,1.5665702,1.5845072
1.5641866,1.5357441,1.5343843,1.5510161,1.6325797,1.6328387,1.6388565,1.6509244
1.5551883,1.5238476,1.526926,1.5434884,1.6210719,1.6216388,1.6273199,1.6407351
1.5908383,1.5735972,1.5677297,1.5810465,1.5727175,1.5763916,1.5734276,1.5909331
1.5669613,1.5423663,1.5427523,1.5573248,1.5480642,1.5523556,1.5584332,1.5719762
1.593182,1.5714427,1.5696402,1.5821935,1.5136353,1.518916,1.5243813,1.5441511
1.5687748,1.5422788,1.5436664,1.5584836,1.4958361,1.5003921,1.5118867,1.5282533
1.5724206,1.5463521,1.5471201,1.5624851,1.5700053,1.5728095,1.580907,1.596213
1.5847913,1.5637171,1.5601757,1.5748279,1.5998635,1.601923,1.6034535,1.6173743
1.6034547,1.5837953,1.586097,1.5982865,1.5238817,1.5298599,1.5262228,1.5470344
1.5633615,1.5374128,1.5349615,1.5514017,1.6079029,1.6113381,1.6140747,1.6250563
1.5643497,1.5376832,1.5360386,1.5523053,1.5951198,1.5987465,1.603052,1.6139703
1.5616261,1.5340316,1.5335169,1.5501794,1.5910202,1.592951,1.5982283,1.6103691
1.569711,1.5420461,1.5443873,1.5603371,1.5804383,1.5825201,1.5914085,1.6062677
1.5882251,1.5681164,1.564332,1.5772393,1.5474647,1.5530331,1.5528959,1.5699859
1.5983342,1.576678,1.5767536,1.5910149,1.6155204,1.6143806,1.6165138,1.6301054
1.5607482,1.5297482,1.5326757,1.551248,1.5231353,1.5247924,1.544034,1.560153
1.5820211,1.5585215,1.557348,1.5707489,1.4943901,1.5009133,1.506424,1.5247061
1.5591838,1.5282387,1.5322797,1.5486449,1.6119567,1.6137103,1.6190658,1.6334181
1.5643494,1.536418,1.5375826,1.5542982,1.5366086,1.5389516,1.5498996,1.5660695
1.608523,1.5858269,1.5876994,1.6013597,1.4824091,1.4886727,1.4904915,1.5126201
1.5621482,1.5320208,1.5363963,1.5529784,1.5882305,1.5912689,1.5981748,1.613387
1.5990417,1.5767806,1.5729852,1.5875,1.4742682,1.480729,1.4849277,1.5072763
1.6345025,1.6112752,1.6172068,1.6296002,1.4742838,1.4799074,1.4826382,1.5047666
1.5921805,1.5694945,1.5680344,1.582918,1.6053733,1.6062874,1.6070704,1.6227164
1.5806735,1.5571029,1.5548024,1.5705014,1.5322226,1.5378832,1.5395902,1.5610392
1.5713477,1.5411943,1.5405867,1.5588225,1.5968345,1.5991844,1.6086382,1.6221356
1.5535034,1.5191361,1.5231664,1.5436779,1.5548843,1.5538318,1.5685143,1.584683
1.6073891,1.585435,1.5840094,1.5978144,1.5502366,1.5530448,1.5546902,1.5741001
1.5901729,1.5646918,1.5683019,1.5837202,1.5447406,1.5484042,1.5522412,1.571763
1.6018666,1.5792739,1.5748029,1.5891261,1.541767,1.5461079,1.5472189,1.5666262
1.5736367,1.5458032,1.5469625,1.5640957,1.5939573,1.5989354,1.599141,1.6144708
1.5780642,1.5517374,1.5502918,1.567251,1.5912913,1.5950937,1.5972341,1.6124381
1.5865121,1.5590847,1.5566449,1.5738275,1.5001459,1.505867,1.5154941,1.5345705
1.5808654,1.5519803,1.5495172,1.569261,1.4921991,1.4959706,1.5118464,1.5327967
1.578407,1.5483626,1.5469286,1.5669774,1.4984974,1.5019326,1.5194378,1.5395131
1.5675294,1.5364401,1.5394666,1.557463,1.5755757,1.5790746,1.5852238,1.6017463
1.5808464,1.5516887,1.5496676,1.5678364,1.4861475,1.4910942,1.5033023,1.5226591
1.5830822,1.5560017,1.5513465,1.5696851,1.4890584,1.4944952,1.5032457,1.5255659
1.5746111,1.5446413,1.5425773,1.5628854,1.5097361,1.512368,1.5277733,1.5473344
1.5636477,1.5306044,1.5298605,1.5511955,1.505596,1.5069249,1.5259109,1.543736
1.5691496,1.5394706,1.5390589,1.5568074,1.4908546,1.4958892,1.507101,1.5224907
1.5626123,1.5295932,1.5319939,1.5517927,1.5613889,1.5634847,1.5727066,1.5876377
1.6225871,1.5967139,1.5958312,1.611698,1.4635838,1.4688991,1.4760679,1.4992622
1.5828867,1.557825,1.5537314,1.5712733,1.5449096,1.5508369,1.5526772,1.5707427
1.6049827,1.5813098,1.5776038,1.5931193,1.5092871,1.5149946,1.5150563,1.5365899
1.581479,1.5521537,1.5500233,1.5685083,1.4920305,1.4973276,1.5086374,1.5262141
1.5695648,1.5391862,1.5394213,1.5589008,1.5469058,1.5503607,1.55912,1.5781627
1.6078429,1.5808762,1.5766006,1.5932866,1.4668478,1.4727273,1.481428,1.5038946
1.5947338,1.5651019,1.5619569,1.5809333,1.4826516,1.4873621,1.5011168,1.5223564
1.5556272,1.5188792,1.52055,1.5430094,1.556384,1.5562327,1.570144,1.5870128
1.5621905,1.5278692,1.526319,1.5486809,1.571245,1.5728394,1.5829947,1.5961759
1.5638826,1.5303811,1.5332172,1.5537721,1.5499017,1.5536454,1.5637754,1.5823947
1.5644814,1.5307207,1.5300906,1.5514926,1.5296407,1.5320854,1.5443523,1.5613805
1.5763326,1.5452696,1.5422997,1.5633312,1.5333151,1.5367908,1.5485528,1.5660803
1.5685064,1.5375116,1.5356655,1.5564498,1.5332884,1.5374073,1.5479177,1.5622846
1.5783068,1.5485051,1.5471587,1.5666931,1.5304327,1.5361202,1.5401915,1.560429
1.5872152,1.5560148,1.5512519,1.5728537,1.4787036,1.4831372,1.499782,1.521385
1.5671269,1.5330384,1.5333419,1.5544498,1.5407442,1.5437704,1.5538254,1.5720212
1.5663692,1.5315826,1.5312021,1.5533308,1.5576787,1.5583563,1.5710225,1.587528
1.575528,1.5444193,1.5438457,1.563765,1.5454125,1.5501761,1.5563253,1.5752401
1.6159915,1.5881815,1.5850241,1.6033496,1.4762695,1.4829328,1.4859278,1.5084648
1.5693862,1.5365989,1.5350451,1.5567396,1.5314423,1.5349803,1.5455359,1.5663813
1.5765004,1.5448246,1.5448513,1.5647331,1.5771513,1.5815029,1.5864974,1.6045061
1.580183,1.5499481,1.5465946,1.5675418,1.5270019,1.531418,1.5394789,1.5587251
1.5638307,1.528427,1.5291696,1.551912,1.5379975,1.5395253,1.5551825,1.5731546
1.5585846,1.5203267,1.5208421,1.5447031,1.5680212,1.567349,1.5812689,1.5979224
1.5903673,1.5602386,1.5540714,1.5751004,1.4897169,1.4954036,1.5052129,1.5266619
1.5957116,1.565138,1.560271,1.5803319,1.4681612,1.4753059,1.485177,1.5060945
1.577381,1.5446942,1.5420465,1.563868,1.5614234,1.5646964,1.5751783,1.5915208
1.5684804,1.5335997,1.5322013,1.5552369,1.5467309,1.5480995,1.5611011,1.5766876
1.5627443,1.5257654,1.5214529,1.5466186,1.4933009,1.494632,1.514625,1.5342424
1.6035458,1.5729795,1.5670619,1.5878866,1.4829897,1.4871842,1.4996877,1.5224496
1.5767254,1.5417638,1.5387537,1.5616944,1.4747291,1.4791197,1.4962285,1.5149568
1.5933464,1.5636417,1.5588679,1.5790037,1.4996732,1.5063899,1.5127766,1.5326583
1.575813,1.5428617,1.5411949,1.5629789,1.5489647,1.5526731,1.5620672,1.580301
1.5818282,1.549402,1.5440464,1.5663266,1.5000206,1.5053636,1.5158709,1.5381207
1.5721747,1.5388451,1.5362985,1.5593296,1.5331575,1.5361713,1.5486883,1.5684633
1.5744451,1.5397942,1.5356746,1.5582701,1.4739207,1.4785093,1.4948652,1.5116299
1.5820061,1.550952,1.5462437,1.5685855,1.5278316,1.532023,1.5423285,1.5622387
1.5761172,1.5432749,1.539577,1.5628138,1.5284096,1.5314207,1.5434594,1.5615019
1.573717,1.5412772,1.537853,1.5605668,1.5228243,1.5270963,1.538309,1.5546832
1.5947605,1.5619631,1.5575058,1.5798985,1.4795924,1.4865379,1.4949461,1.5177441
1.5828565,1.5475578,1.5485125,1.570237,1.4507905,1.4569347,1.47583,1.4918727
